	R	RDes	P	PDes	Y	YDes	FaultIn	RRPrediction
119	-1.21513404685047	-0.999765493864265	1.8607560548928601	0.8292593738268269	64.37909470181489	63.308850057870906	0	0
120	-0.47325316949440205	-0.0287751154411393	2.14904339694736	1.4144086136892802	69.6186086148885	28.6540008575032	0	0
121	0.142597433093189	0.28775230979295696	-0.783517745868643	-1.58897920689997	59.7122820572439	-2.89175738390496	0	0
122	0.669494050575271	0.775325051757953	-0.585275925304673	-1.0562313006289898	39.6737360642276	-25.6547721718555	0	0
123	0.515278921703741	0.455818462663328	-3.0866958876653903	-3.61866718710938	16.1936623622503	-35.7451215370826	0	0
124	0.289403384471802	-0.0848226001364862	-2.93449381013975	-3.0690479710373504	-4.57154326288143	-37.0893599948431	0	0
125	-0.644877974689482	-0.7132671746748329	-4.51886606781235	-5.10977968438043	-19.134879553520502	-32.4062038182328	0	0
126	-0.00832276277358302	0.288620755041269	-4.842316439236179	-4.97038585017612	-26.601096590874	-22.295066564170398	0	0
127	0.150114592411303	0.21232427480210997	-6.08755387508999	-6.74401382847793	-27.3475338868442	-9.91599520709839	0	0
128	-0.15887101516650398	-0.184290643024209	-6.41135152730634	-6.28741648826743	-22.6781410369131	1.36018028628845	0	0
129	-0.198137449921913	-0.281078581140162	-6.59201522534248	-6.884772834498549	-14.7506404286795	9.52828634492635	0	0
130	-0.110101134851408	-0.181738078564351	-6.38869777590559	-6.34198732957031	-5.93867539265833	13.7530300704687	0	0
131	-0.496424317386294	-0.338518590225276	-7.13884954833642	-7.2835054191390505	1.7945879444325399	14.313874532904599	0	0
132	-0.0712781863557899	0.19933880414478697	-7.2627033445181395	-7.23836138897611	7.285432225593571	11.8087841175154	0	0
133	0.0709140860808864	-0.10247621437921	-6.95205137317391	-7.13559440454281	9.96671441903027	7.66035711146605	0	0
134	0.15304143330394698	0.261433985427428	-6.8336945833429095	-6.80278592878874	10.025093058931699	2.96426517470819	0	0
135	-0.454865172953439	-0.33319133225680797	-7.312388285486361	-7.40581122630703	8.11310494433691	-0.9723629404800609	0	0
136	-0.322102898669872	-0.27538697383749	-6.68533858457795	-6.80026749134125	5.16532693576871	-3.82557490119805	0	0
137	-0.30349107334377	-0.47204675405286106	-7.56990832636155	-7.707197026119901	1.9317784498973798	-5.2132299288228205	0	0
138	-0.0559634659823606	-0.0327373869765445	-6.8904674155868495	-7.08601919376256	-0.876846037233973	-5.340527847798731	0	0
139	-0.11020110391639198	-0.14755545460246303	-7.415654616551381	-7.38119086139222	-2.78612140405164	-4.357569045748741	0	0
140	-0.073911856075983	-0.00701494474341744	-7.16876555018589	-7.03119425905882	-3.7112245136518105	-2.84224216320125	0	0
141	-0.197386340869257	-0.26634905089058997	-7.48107713095428	-7.888522408896461	-3.7123329037404003	-1.0616172209117	0	0
142	-0.0371054652228374	-0.24695073845357396	-7.09630312542941	-6.98192626348466	-3.04901504801709	0.46726472131572405	0	0
143	-0.566077524573614	-0.7622178610135479	-7.31210704737704	-5.0415582552509095	-1.9405471416053799	1.73427646692948	0	0
144	-0.328791362412091	-0.0452149767478563	-3.7014524453995903	-1.8896844455389101	-0.663582947795933	2.1273447333772	0	0
145	0.0249727925020727	-0.14930241647842998	-2.69056044848352	-0.9173562574628641	0.43164184458987603	2.14760113899582	0	0
146	-0.146126914848698	-0.0284617039580841	-1.0376517653814499	-0.17522719499006498	1.15537214693915	1.71182741857021	0	0
147	0.17822920235539	0.035051901006959	-0.738672033260032	-1.26517425562136	1.47744649019798	1.0525214819709399	0	0
148	-0.146276820765477	-0.0952987685960256	-0.19250793993812698	-0.562630912013212	1.48043989289285	0.415411647546678	0	0
149	0.0260694108373068	0.0197829117067336	2.78258279878028	2.12706878693293	1.19420290131213	-0.22399139549859198	0	0
